ensemblID,ctrl_0000,low_0045,low_0090,low_0180,low_0360,low_0720,low_1440,high_0045,high_0090,high_0180,high_0360,high_0720,high_1440,geneID
ENSG00000205542,1,0.955027337,1.004434696,1.131609374,1.255514097,1.191982543,0.987646716,1.048156682,1.123839984,1.185079637,1.220308939,1.407239612,1.909437986,TMSB4X
ENSG00000242265,1,0.95553579,0.868423991,0.706887051,0.650364668,0.408869737,0.419191068,0.949164307,0.903036358,0.808169168,0.590911838,0.275524066,0.188623057,PEG10
ENSG00000167302,1,0.980173325,1.10637048,1.249424557,1.100866538,1.003536302,1.219052617,0.91257514,0.905077445,0.98694099,1.085434866,1.122112282,1.707682553,TEPSIN
ENSG00000182795,1,0.819785052,0.623644853,0.871255951,1.100033643,0.924479012,0.650000339,0.814231941,0.638315837,0.751773887,0.88269288,0.684002636,0.675963906,C1orf116
ENSG00000105767,1,0.921969783,1.115107354,1.255588448,1.133107764,1.314750138,2.080523637,1.047251559,1.183016857,1.099891914,1.08209053,1.294377294,2.850351293,CADM4
ENSG00000227057,1,0.895087633,0.939106703,0.966651465,0.839639137,0.730192759,0.749655706,0.888915816,0.811230941,0.825053105,0.754000153,0.590121642,0.655769341,WDR46
ENSG00000198890,1,0.879716171,0.804307917,0.699979883,0.715544612,0.578651895,0.816035564,0.871972294,0.921168861,0.655225395,0.621421896,0.364278312,0.431855172,PRMT6
ENSG00000158292,1,0.974017996,0.937479433,1.129891354,1.147052894,1.531879933,1.519171934,1.015569292,0.926796853,0.959860812,1.093238724,1.557143606,1.578606507,GPR153
ENSG00000174780,1,1.019281135,0.954962439,0.861767154,0.9236853,0.999435425,0.990689285,1.025285635,1.103490681,0.995903105,0.848185675,0.784213614,0.663422772,SRP72
ENSG00000169139,1,0.963941238,0.918901254,0.810302724,0.848776932,0.830594277,0.716476555,0.961831421,1.041093814,0.913902516,0.796164388,0.652229193,0.568023276,UBE2V2
ENSG00000171612,1,1.098443493,1.132637713,0.74750184,0.755703582,0.72854256,0.809053607,1.172395197,1.197397561,0.767559066,0.6974197,0.509558484,0.431797145,SLC25A33
ENSG00000152270,1,1.130537,1.055187649,0.965087122,1.015102339,0.85815334,0.837245538,1.075560728,1.098690514,1.011697373,0.936393321,0.680308323,0.55059018,PDE3B
ENSG00000133627,1,1.044497166,1.076095139,1.025412673,0.936768457,0.78962044,0.988551139,0.997454646,1.087021591,0.919209031,0.687709558,0.528087575,0.468190784,ACTR3B
ENSG00000130193,1,0.888431335,1.064677754,1.059566716,0.796542917,0.538292073,1.073717301,0.970334443,0.949453367,0.725186998,0.532457108,0.262417571,0.315214906,THEM6
ENSG00000171988,1,1.315061657,1.265264416,1.083173652,1.460050519,1.576867235,1.258250689,1.246426383,1.307063836,1.142768253,1.596927485,1.961529403,1.730639104,JMJD1C
ENSG00000171444,1,1.004230705,0.848800731,0.608425312,0.861294631,1.019598071,1.00736563,1.035066702,1.006839504,0.649769078,0.757956246,0.755881075,0.815098723,MCC
ENSG00000164902,1,0.925087864,0.871061962,0.71497289,0.757804312,0.74828664,0.726356141,0.937258151,0.8910273,0.855034708,0.699417727,0.611993825,0.590621796,PHAX
ENSG00000272398,1,0.970704125,0.722263611,1.034683809,1.406044511,0.916614707,0.827011548,1.157104562,1.233146485,1.834761659,1.811005778,1.40760428,2.644121761,CD24
ENSG00000182379,1,0.973581252,1.385340009,1.50600167,1.219485526,1.268837884,2.051738305,0.953505239,1.266456863,1.308382019,1.31447825,0.955046653,1.949233579,NXPH4
ENSG00000168275,1,0.922378206,0.921850501,0.903850571,0.870823977,0.816087811,0.743715332,0.854206338,1.003381467,0.828626918,0.730042179,0.553203887,0.495461999,COA6
ENSG00000138448,1,1.09078617,1.03800807,1.227004755,1.306725908,1.425211929,1.084530632,0.972070683,1.114244388,1.513646392,1.932669914,2.882766026,3.608152313,ITGAV
ENSG00000127419,1,0.988210617,1.096837946,1.33684367,1.251460611,2.133081418,2.576903901,1.013364514,0.999780958,0.961261176,1.361114149,2.33580561,2.730928259,TMEM175
ENSG00000164032,1,1.050250614,1.034907403,0.985018788,1.057266244,0.863311402,0.598260005,1.054811249,1.133861514,1.027410172,0.944211955,0.729212438,0.416451414,H2AFZ
ENSG00000145283,1,1.063670447,1.243246151,1.263928982,1.809930996,1.78678867,0.851826775,1.026489172,1.052259148,1.149479411,1.58054576,1.617062782,0.81739817,SLC10A6
ENSG00000150456,1,1.09867894,0.968532134,0.963067539,1.004249521,1.020794235,0.860066475,1.008337766,1.110879118,1.129279099,0.864724311,0.814789233,0.587506972,EEF1AKMT1
