geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
DUT,0.579314007,0.715571592,0.880705222,0.927085731,0.98714527,1.088040527,0.749637062,0.803604181,0.848821185,0.91069584,0.943554113,0.992219933,inhibition,1
E2F6,0.595605342,0.765394832,0.77667554,0.87721381,0.960984263,1.037961745,0.818224095,0.875915403,0.948960504,0.751147869,0.884199253,0.983719978,inhibition,1
EARS2,0.491424055,0.69483343,0.881032352,0.895631311,0.928703228,1.00823359,0.784886986,0.902963662,0.960118991,0.980943275,1.031667699,1.068537414,inhibition,1
EBNA1BP2,0.33505169,0.484777028,0.679178686,0.876762701,0.938529247,0.972386184,0.551410443,0.638956971,0.752973395,0.865292365,0.969933388,0.969812632,inhibition,1
EBP,0.723617088,0.830745237,0.973086082,0.99027343,1.007012968,1.091856089,0.658153372,0.59686112,0.918941508,1.022895464,1.069071212,1.135264118,inhibition,1
EBPL,0.498524542,0.680319169,0.932657524,1.043401645,1.048947338,1.222768607,0.763147524,0.851887776,0.932359423,1.100181307,1.031586694,1.111103085,inhibition,1
ECD,0.624804793,0.632866762,0.782216448,0.947159311,1.031181358,1.033551119,0.732913387,0.744076213,0.865025763,0.97555957,1.028915581,0.86138876,inhibition,1
ECHS1,0.66023267,0.714282775,0.873904912,0.958461674,1.005357778,1.048056254,0.847908135,0.821960827,0.919766548,1.008705511,0.979938132,1.045680575,inhibition,1
ECSIT,0.649078021,0.691346389,0.746260807,0.815425722,0.986372946,1.038499459,0.919608612,0.866653184,0.942420558,0.979064706,0.983424796,0.985836567,inhibition,1
EED,0.603665485,0.680811862,0.848514951,0.967389218,1.017984623,1.087415078,0.74208422,0.772376622,0.872051756,0.986522894,0.908301416,1.138820422,inhibition,1
EEF1AKMT1,0.587506972,0.814789233,0.864724311,1.008337766,1.110879118,1.129279099,0.860066475,1.020794235,1.004249521,1.09867894,0.968532134,0.963067539,inhibition,1
EEF1E1,0.418916703,0.642181674,0.819214687,0.902270199,1.124550869,1.127922022,0.721473843,0.864341023,0.861360024,0.946119514,1.112212996,1.063646473,inhibition,1
EEF2,0.636225277,0.701380514,0.849863734,0.976428763,1.012981269,1.022634494,0.780267391,0.899846148,0.914732065,1.179702233,1.007636231,0.99093293,inhibition,1
EEF2KMT,0.39806592,0.41748882,0.504787337,0.553059538,0.914543753,0.914903881,0.712770964,0.699668407,0.744653385,0.746666103,0.850389655,0.897470696,inhibition,1
EEFSEC,0.646892684,0.681938309,0.72935064,0.847628098,0.928745638,1.068352234,0.887256279,0.860922433,0.842086023,0.946732363,0.953158865,0.960890348,inhibition,1
EFEMP1,0.439706914,0.620622974,0.886821447,0.925187825,0.949845941,0.954911155,0.480761326,0.655941289,0.843367088,0.975906755,1.039720674,0.982077065,inhibition,1
EFNA5,0.64440362,0.784202533,0.811946792,0.905266097,1.041587417,1.08709581,0.849657043,0.838045867,0.855931582,0.86657596,1.101533518,1.050459886,inhibition,1
EFTUD2,0.537518649,0.610195405,0.742121538,0.921671359,0.935355626,0.985979229,0.686833776,0.735665623,0.791324234,0.899343649,0.988225678,0.999656191,inhibition,1
EGFLAM,0.570254812,0.886329199,0.914125383,0.9765958,0.984461457,0.988967659,0.851879505,0.977224458,0.962509081,1.016114322,0.887589755,1.126214435,inhibition,1
EGLN1,0.619588305,0.817190875,0.837325373,0.914032108,0.942983295,1.031077908,0.878858418,1.089139181,0.867567477,0.77298059,0.992908264,0.863120956,inhibition,1
EHD1,0.807872376,0.854393481,0.860206378,0.875466541,0.915136861,0.982476775,0.79375592,0.959588335,0.982561171,0.860922829,0.68339717,0.69808609,inhibition,1
EHD4,0.568488139,0.673173762,0.772325238,0.875786916,1.017505716,1.063438165,0.714744512,0.745298527,0.818238532,0.854643457,1.046824028,1.028606347,inhibition,1
EIF1AX,0.474517389,0.541152537,0.720713124,0.880373509,1.075019835,1.110990287,0.686212902,0.743164019,0.764178178,0.712864659,1.068252309,0.877483318,inhibition,1
EIF2AK2,0.617287002,0.657189777,0.82354363,0.958753591,0.965674934,1.029275392,0.809353297,0.739907332,0.826420254,0.811062568,0.991871372,0.936187946,inhibition,1
EIF2B2,0.66304746,0.837171065,0.864163395,0.963173698,1.001566161,1.067117875,0.832237448,0.988458508,0.917687355,1.072102513,0.969045513,0.974507801,inhibition,1
EIF2B3,0.29350483,0.454943162,0.612529327,0.8656232,0.929328709,0.951724125,0.598192398,0.611132414,0.706894736,0.771950949,0.974057854,0.959043749,inhibition,1
EIF2S1,0.489405105,0.554737029,0.702525786,0.921740299,0.985659097,1.018337883,0.760340033,0.790615437,0.7466346,0.795902803,0.954554413,1.013636879,inhibition,1
