,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
1237,NQO1,0.496454382,0.592795726,0.724357494,0.838627166,0.950489746,0.953533644,0.695806786,0.722626145,0.799997132,0.805630004,0.939334074,0.882863474,inhibition,1
1238,NR1H2,0.676702946,0.701169446,0.851884396,0.855605014,1.042606174,1.132285292,0.828926722,0.970052988,0.963990144,0.907255174,0.881175288,1.176843891,inhibition,1
1239,NR2C2AP,0.525856633,0.638576033,0.757533532,0.900790659,0.931766274,1.029369095,0.853786266,0.857276951,0.957115535,1.081076815,1.024427986,1.057739739,inhibition,1
1240,NR2F2,0.542650052,0.579926958,0.60702796,0.65996089,0.779537379,0.908613455,0.74589918,0.698283876,0.792076868,0.710274436,0.796710882,0.911102014,inhibition,1
1241,NRM,0.631024702,0.837241468,1.034873509,1.059467299,1.06131349,1.089127554,0.609871178,0.807347085,1.050506879,1.116427706,1.169290468,0.985577402,inhibition,1
1242,NRP1,0.802731085,0.892996854,0.936128759,0.936544122,1.046110463,1.046997579,0.635916299,0.943657692,1.022890516,0.861564897,1.069552755,1.12932622,inhibition,1
1243,NRP2,0.332779358,0.532802444,0.814226405,0.834683181,0.941536142,0.949786087,0.547742977,0.666980052,0.924237331,0.935483899,0.922358328,1.024527853,inhibition,1
1244,NSA2,0.597990372,0.637352176,0.757745763,0.938668752,1.022055763,1.031481605,0.73263703,0.761068641,0.823305307,0.873273781,1.03940013,0.946987889,inhibition,1
1245,NSMCE4A,0.636362736,0.822233655,0.827706448,0.896670515,0.904213876,0.923181201,1.007799209,0.897179731,0.939784553,0.895997111,0.949966818,0.95370394,inhibition,1
1246,NSUN2,0.580970552,0.615841466,0.722943332,0.863292603,0.956384711,0.964875247,0.753772282,0.810701653,0.777550033,0.855814766,0.990106989,1.027958616,inhibition,1
1247,NT5DC3,0.453841127,0.492694082,0.644771117,0.648914093,0.955427018,0.993562632,0.712631365,0.555740141,0.580300586,0.610033168,0.988230628,1.081593837,inhibition,1
