,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
409,KLHL24,1.022323888,1.199644899,1.421864881,1.806416297,2.606146099,5.216927997,1.096061538,1.109286618,1.294433086,1.519343013,2.137547038,2.574887114,activation,2
410,KLHL28,1.017784826,1.123388822,1.435374232,1.489538969,1.529898491,1.811999964,0.841247262,1.032621292,1.029702114,1.3140933,1.152970721,1.539296692,activation,2
411,KLHL36,0.910224613,0.979508526,1.030227461,1.128665722,1.437348831,1.497484066,0.969351719,0.994567006,1.115999653,1.20148854,1.583806182,1.530133602,activation,2
412,KLHL5,1.031790238,1.107287018,1.363678215,1.528497204,2.029377753,2.037549013,1.03459876,0.965160807,1.154344218,1.379728198,1.073945665,1.569168364,activation,2
413,KMT5B,0.955414298,0.959953866,1.018558061,1.31998398,1.541905068,1.574311335,1.041767617,0.989272774,0.975674967,1.221645786,1.304069581,1.464419744,activation,2
414,KMT5C,0.949047849,1.098153757,1.147454535,1.707178867,1.840813891,1.931411338,0.947061149,1.475215549,1.595273454,1.544049275,1.701118202,1.697630125,activation,2
415,KRIT1,0.901560218,1.033206022,1.122546134,1.401052958,1.607360277,1.637059225,0.994394115,1.042198842,1.177749385,1.357511174,1.521543017,1.454903135,activation,2
416,KRT17,1.052856072,1.083191737,1.088658686,1.121565177,1.425748877,1.72889031,0.975094485,1.262796972,1.046531263,1.110295394,1.198813756,0.892110042,activation,2
417,KRTCAP2,0.892221885,1.082758654,1.311424751,1.352322453,1.403895728,1.583839165,1.058375566,1.228029447,1.286991659,1.410441294,1.437658715,1.213388244,activation,2
418,LACTB,0.910740584,0.992112828,1.026564465,1.134129664,1.585750309,2.158343064,0.992205047,1.017946336,1.110405646,0.954186235,1.046284262,1.460189367,activation,2
419,LEMD2,0.991804574,1.02554366,1.191452524,1.35068829,1.510951523,1.641275134,1.043055551,1.1358831,1.391006485,1.299514293,1.405824072,1.308245236,activation,2
420,LENG8,0.924348252,0.972521413,1.04171784,1.247407616,1.506930606,1.844419107,1.105402225,1.007992954,1.30904074,1.252464737,1.336678716,1.683519461,activation,2
421,LGALS1,1.018992308,1.021567539,1.036431062,1.064873192,1.374085048,2.193712112,1.075934063,1.21427709,1.175188755,0.936277352,1.289533643,1.456747742,activation,2
422,LHFPL2,0.928792071,0.975432095,1.222469114,1.671593794,1.770496886,1.794740839,0.925578637,1.123280803,1.122338185,1.434138408,0.902412886,1.345112334,activation,2
423,LIMK2,0.89522661,1.188439962,1.209132822,1.268531253,1.301881625,1.819293046,0.925998207,1.121868601,1.091284976,1.207232888,1.321725429,1.078770781,activation,2
424,LMBRD1,1.014406778,1.028324782,1.134318685,1.339952466,1.421542584,1.588252332,1.096035543,1.096458395,1.192386066,1.173539606,1.237769917,1.376407098,activation,2
425,LNX2,0.965080326,1.116115901,1.151317952,1.16239504,1.195917366,1.635679584,0.978352209,0.849158191,0.886634158,0.874483267,0.969077637,1.073980611,activation,2
426,LOX,1.10062603,1.194752614,1.293485899,1.404677656,1.498826586,1.541181225,1.070343409,1.03807717,1.12995941,1.103557714,1.210174377,1.457621058,activation,2
427,LPGAT1,1.152672738,1.314457234,1.416857575,1.439543638,1.498172909,1.562963806,1.140255291,1.092327554,1.093887934,1.313825245,1.336698702,1.384779281,activation,2
428,LPP,1.020223582,1.091484746,1.092362557,1.109526802,1.570457907,1.583366196,0.867948834,1.138641989,1.110972344,1.003404334,1.424076976,1.564714124,activation,2
429,LPXN,1.151268001,1.408463867,1.615045563,2.072356565,3.308103766,3.700121943,1.255813569,1.244812535,1.332220356,1.694584289,1.708644421,1.194293606,activation,2
430,LRCH3,1.005481553,1.092305434,1.413980621,1.475968981,1.655425885,1.917740729,0.993392065,1.042080414,1.292800232,1.071595183,1.463865296,1.451686248,activation,2
431,LRIG2,1.0064109,1.086803142,1.332788288,1.393517951,1.439623117,1.589388804,1.021537366,1.095653204,1.182090106,1.204761094,1.499762621,1.40523571,activation,2
432,LRIG3,0.90246963,1.038065503,1.046920992,1.19917895,1.312462367,1.706247721,1.089799558,1.027709535,1.102763963,1.066433061,1.169278615,1.027291839,activation,2
433,LRP10,0.997456702,1.007173933,1.114725593,1.289436401,1.625187021,2.266810711,1.076540257,0.979370333,1.243282281,1.238574436,1.367404175,1.408421642,activation,2
434,LRP12,1.128724248,1.171963133,1.321516494,1.47928239,1.629496451,1.651747156,1.038270454,1.180959368,1.101495799,1.308633752,1.33918534,1.391851374,activation,2
435,LRRC28,1.046197231,1.232335578,1.312826197,1.359909074,1.506678848,1.573804435,0.956555139,1.006355953,1.194666985,1.1306887,1.275869935,1.391257074,activation,2
436,LRRC37B,0.932103772,1.057745307,1.095846083,1.467055318,1.504848205,2.149042596,0.946069002,1.114951992,1.092525812,1.365493903,1.43486015,1.514880963,activation,2
437,LRSAM1,0.878709324,0.902391606,0.928541382,1.122046133,1.756685037,1.845892896,1.04255102,0.976188426,1.052290167,1.05774214,1.536695485,1.776819764,activation,2
438,LUC7L,0.907926523,0.991205009,1.01651655,1.148391733,1.161797445,2.064631985,1.052692647,1.042849523,1.121571251,1.13501151,1.030072465,1.587705733,activation,2
439,LYPD3,1.214950911,1.545013066,2.100812308,2.607690288,4.235006863,6.865014296,1.017350544,1.200169131,1.596111164,1.312504992,1.335938092,1.962081613,activation,2
440,LYSMD4,0.910875487,1.048560217,1.083555957,1.295292786,1.481633679,1.64941947,0.954299903,1.093461061,1.179214652,1.267328415,1.184663245,1.395120608,activation,2
441,MAFG,1.153422255,1.199322529,1.294590108,1.313809687,1.543305428,1.724707005,1.185777001,1.07616457,1.327531577,1.075488964,1.56475398,1.304195538,activation,2
442,MAGI3,1.051633083,1.108175624,1.315596029,1.339089991,1.57372986,1.575375967,0.967524905,1.100313319,0.799538438,1.083445248,1.203879096,0.942737928,activation,2
443,MAN1B1,0.949778283,0.96677102,0.974023097,1.215362356,1.395765955,1.711978356,1.038646907,0.938172269,1.270750246,1.279609377,1.326914438,1.454194457,activation,2
444,MAN2B2,1.056261637,1.060729164,1.085965795,1.093681132,1.692408425,2.705252816,1.135208042,1.075979663,1.174467127,1.211243414,1.382880585,1.981707229,activation,2
445,MAP3K1,0.94450604,1.233037142,1.238001819,1.380562313,1.511104208,1.716359604,1.017315247,0.979785707,1.011183987,1.205972467,1.164656101,1.254984626,activation,2
446,MAP3K11,0.960200501,0.992196951,1.042769103,1.114396441,1.206308307,1.758266868,1.079668235,0.931343007,1.132244545,1.283717665,1.127067453,1.315341614,activation,2
447,MAP4K4,1.052974602,1.072209579,1.168326484,1.270812048,1.422371989,1.57251238,0.980291616,1.079448975,0.976120877,1.095925782,0.980841758,1.156842522,activation,2
448,MAPK8IP3,0.950846299,0.99135137,1.227300421,1.533428046,2.163800806,3.55634427,0.998654511,1.153490173,1.689163543,1.480636464,1.49008883,1.802415634,activation,2
449,MARCKS,1.125223762,1.24558265,1.379792628,1.465236484,1.475845555,1.627584489,1.22940958,1.136733967,0.997102491,0.811278602,1.155309772,1.07719959,activation,2
450,MARK4,0.913672087,0.922790067,0.967140267,1.127503822,1.164397336,1.621898146,0.868803033,0.927358174,0.935418643,1.024012346,1.165931605,1.199169725,activation,2
451,MAST3,0.899230566,0.942554912,1.03143156,1.126610286,1.291365425,1.608412848,0.97134383,0.907536725,1.096152392,1.211045625,1.141799392,1.504114186,activation,2
452,MBD1,0.987324378,1.044355102,1.302369921,1.563526542,1.582958052,1.810217128,1.018580236,1.151959666,1.431182319,1.522285723,1.283192913,1.589977057,activation,2
453,MCRIP1,1.056841425,1.062897392,1.166191618,1.216163823,1.935572437,3.080829372,1.157379614,0.921953241,1.207350607,1.345344984,1.456006735,1.985781777,activation,2
454,MDFI,0.889488892,1.054317048,1.171462739,1.305280983,1.595741563,1.873252781,0.967371809,1.133404566,1.415642038,1.145948616,1.061390692,1.162347725,activation,2
455,MDM4,0.964142427,0.97983704,0.991863688,1.05300261,1.316568291,1.541747495,1.0286538,0.90754581,1.057910057,1.216105417,1.220293227,1.407464334,activation,2
456,MED12,0.948885908,0.975398185,0.992889766,1.13286376,1.470291383,1.640016037,0.925729923,1.002964709,1.116901487,1.143135498,1.400689581,1.370574868,activation,2
457,MED23,1.014651802,1.084444476,1.196845317,1.495628735,1.623414854,1.718996198,1.075588522,1.149556064,1.19300634,1.361513576,1.45224881,1.623982474,activation,2
458,MED25,0.982417474,1.044650529,1.111644064,1.184556322,1.227437215,1.653835592,1.20819501,1.047936545,1.097949044,1.556976011,1.147118433,1.240785881,activation,2
459,MEF2A,1.028746836,1.057291611,1.485653131,1.577131713,1.816731643,1.966588042,1.085674497,0.970347815,1.24846354,1.269307191,1.138236075,1.337265442,activation,2
460,MEGF8,0.893865136,0.92999827,1.001730532,1.053565366,1.066994873,1.635477147,1.019189908,1.021845946,1.190219652,0.978373432,0.98010822,1.455442536,activation,2
461,MEGF9,1.071462801,1.156788123,1.208224483,1.370381857,1.562474607,1.618277304,1.033686997,1.03784793,1.149187118,1.109037644,1.186507152,1.429537424,activation,2
462,METTL22,0.939126915,1.104172451,1.243159983,1.342510556,1.604618498,1.732995311,1.071325917,1.170937141,1.126480481,1.423038369,1.551023791,1.331705547,activation,2
463,MEX3C,1.103885085,1.166931221,1.227387614,1.337094639,1.381284377,1.631816756,0.933233538,1.179909997,1.154867647,1.004187113,1.230214927,1.539914154,activation,2
464,MFGE8,1.045329713,1.061637896,1.074170599,1.091134488,1.386825822,2.515719833,1.033084578,1.273331973,1.184881983,1.051306106,1.257745112,1.866050572,activation,2
465,MFSD12,0.992236133,1.044280337,1.175231427,1.216941235,1.267985382,1.579839279,0.896040811,1.011500862,1.155628328,1.467399625,1.275389257,1.052262533,activation,2
466,MFSD14C,1.160916997,1.608423113,1.610017854,1.751747695,1.818401524,1.820525449,1.312065647,1.499176723,1.192849708,1.766894916,1.595320281,1.335629658,activation,2
467,MFSD6,1.149418205,1.160942148,1.217182372,1.260480759,1.265812344,1.839635028,1.102166003,1.118698478,1.09857955,1.189744711,1.374258826,1.933332524,activation,2
468,MGAT4B,0.979695902,1.007111324,1.031017295,1.033267257,1.09770967,1.549962192,0.944238602,1.02680675,1.065127604,1.184854158,1.18992709,1.182594809,activation,2
469,MINK1,0.887901678,0.967066326,1.050970031,1.232884236,1.469644983,1.949940638,1.029185565,0.997577298,1.311688306,1.260926587,1.338140383,1.672476218,activation,2
470,MIS12,0.966113432,0.979211739,0.992543535,1.123216833,1.13605031,1.518532637,1.003643056,1.031535069,1.139952983,1.014082471,1.158702778,1.321749632,activation,2
471,MLLT11,1.202887752,1.703803406,2.252370741,2.771879796,2.787245483,2.963667909,1.143503995,1.427846418,1.904563861,1.703659369,1.461773185,1.935843776,activation,2
472,MLLT4,1.009750819,1.044252865,1.078991577,1.320687677,1.38760661,1.703021721,1.099550178,1.055452942,1.05812884,1.192713931,1.189431444,1.429877465,activation,2
473,MLXIP,0.954324102,1.238418905,1.310771863,1.34836754,1.437375193,2.305351982,0.944330502,1.058590283,1.181004515,1.261187867,0.917544164,1.061613961,activation,2
474,MMP14,0.879314694,0.937253769,1.190446949,1.485124167,2.043251707,2.380732906,1.050492684,0.986451212,1.367986761,1.352557544,1.344480346,1.319968701,activation,2
475,MMP28,0.939078091,1.006047873,1.07904911,1.295548579,1.70507862,2.070753013,1.0045929,1.067097685,1.212392699,1.304930166,1.700446262,1.80759124,activation,2
476,MOB2,1.030432891,1.067565029,1.207723321,1.312728744,1.395675266,2.348683426,1.261842626,1.002461245,1.609411355,1.283693381,1.1519463,1.575852343,activation,2
477,MOB3C,0.812083341,1.01318824,1.16077164,1.565372107,1.620051347,2.196297164,0.95023993,1.116330149,1.3473048,1.542182998,1.502468518,1.926723874,activation,2
478,MORC3,0.991579216,1.125303955,1.158157206,1.309392038,1.494372971,1.648861649,1.023788911,1.036711188,1.043910851,1.156428846,1.2388589,1.22263246,activation,2
479,MOSPD2,0.983431085,1.059853723,1.19231207,1.500475106,1.5866347,1.599919766,0.985292909,1.118129073,1.170197335,1.430285842,1.556156899,1.36911402,activation,2
480,MPPE1,0.892432672,1.043101153,1.188185687,1.225877301,1.370275505,1.739724212,1.108338392,1.121288153,1.292549665,1.308497665,1.249757195,1.510260717,activation,2
481,MPZL3,0.949726622,0.998917509,1.18028251,1.310817253,1.535246543,1.663272163,1.056180758,0.877049987,1.102875918,1.159454515,1.396352028,1.579346987,activation,2
482,MT1X,1.734535675,1.908321896,1.919308271,1.934706544,2.227740789,2.299934152,2.053514725,1.777415123,1.485977066,1.53720883,2.176459283,1.56115276,activation,2
483,MTFR1L,0.840414262,0.963690406,1.131430347,1.193436258,1.235748637,1.771385528,0.9127275,0.892820062,1.22790453,1.206410478,1.441393064,1.914815096,activation,2
484,MTMR3,1.020726867,1.185292366,1.421001425,1.613266868,2.002853618,2.577363435,1.010824692,1.112592392,1.300341936,1.38320692,1.434292303,1.325761578,activation,2
485,MUTYH,0.854678517,0.922385588,1.079897513,1.337522025,1.360699753,1.570860749,0.914065985,0.958136373,1.294845145,1.4498252,1.389822072,1.512783201,activation,2
486,MXD4,1.102249721,1.130735681,1.145686498,1.448849012,2.27858295,4.849400178,1.252776504,1.28905516,1.131928359,1.49029244,1.761921532,2.853381691,activation,2
487,MYD88,0.979373435,1.043117587,1.101113192,1.133727966,1.139612427,1.574058409,1.010334025,1.009786303,1.056244017,0.962605375,0.975933,1.108194442,activation,2
